X1,X2,X3,X4,X5,href
23,4634,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(十六)(7327字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820714&cs=15929280&str=对部分国家+出口商品类章+海关统计
24,4633,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(十五)(7448字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820713&cs=14772212&str=对部分国家+出口商品类章+海关统计
25,4632,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(十四)(7598字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820712&cs=6965837&str=对部分国家+出口商品类章+海关统计
26,4631,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(十三)(7727字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820711&cs=14461537&str=对部分国家+出口商品类章+海关统计
27,4630,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(十二)(7532字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820710&cs=287711&str=对部分国家+出口商品类章+海关统计
28,4629,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(十一)(7668字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820709&cs=7479400&str=对部分国家+出口商品类章+海关统计
29,4628,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(十)(8462字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820708&cs=3572821&str=对部分国家+出口商品类章+海关统计
30,4627,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(九)(8463字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820707&cs=8970060&str=对部分国家+出口商品类章+海关统计
31,4626,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(八)(7690字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820706&cs=8682371&str=对部分国家+出口商品类章+海关统计
32,4625,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(七)(7710字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820705&cs=15619109&str=对部分国家+出口商品类章+海关统计
33,4624,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(六)(7629字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820704&cs=14793657&str=对部分国家+出口商品类章+海关统计
34,4623,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(五)(7819字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820703&cs=11157621&str=对部分国家+出口商品类章+海关统计
35,4622,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(四)(7716字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820702&cs=11638569&str=对部分国家+出口商品类章+海关统计
36,4621,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(三)(7690字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820701&cs=9121829&str=对部分国家+出口商品类章+海关统计
37,4620,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(二)(7962字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820700&cs=13122705&str=对部分国家+出口商品类章+海关统计
38,4619,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(一)(7925字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820699&cs=2725357&str=对部分国家+出口商品类章+海关统计
39,4618,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(二十二)(7780字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816694&cs=16723757&str=对部分国家+出口商品类章+海关统计
40,4617,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(二十一)(7815字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816693&cs=9240966&str=对部分国家+出口商品类章+海关统计
41,4616,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(二十)(7369字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816692&cs=2184516&str=对部分国家+出口商品类章+海关统计
42,4615,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(十九)(7443字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816691&cs=1959555&str=对部分国家+出口商品类章+海关统计
43,4614,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(十八)(7716字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816690&cs=10616929&str=对部分国家+出口商品类章+海关统计
44,4613,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(十七)(7675字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816689&cs=8869363&str=对部分国家+出口商品类章+海关统计
45,4612,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(十六)(7385字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816688&cs=1626964&str=对部分国家+出口商品类章+海关统计
46,4611,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(十五)(7446字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816687&cs=12930227&str=对部分国家+出口商品类章+海关统计
47,4610,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(十四)(7716字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816686&cs=4137120&str=对部分国家+出口商品类章+海关统计
48,4609,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(十三)(7725字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816685&cs=13283817&str=对部分国家+出口商品类章+海关统计
49,4608,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(十二)(7531字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816684&cs=14608577&str=对部分国家+出口商品类章+海关统计
