"number","table","currency","variables","year","month","url"
"表13","出口主要商品量值表","人民币","出口",2018,"3 ","www.customs.gov.cn/customs/302249/302274/302277/302276/1761772/index.html"
"表13","出口主要商品量值表","人民币","出口",2018,"4 ","www.customs.gov.cn/customs/302249/302274/302277/302276/1857728/index.html"
"表13","出口主要商品量值表","人民币","出口",2018,"5 ","www.customs.gov.cn/customs/302249/302274/302277/302276/1899387/index.html"
"表13","出口主要商品量值表","人民币","出口",2018,"6","www.customs.gov.cn/customs/302249/302274/302277/302276/1940002/index.html"
"表13","出口主要商品量值表","人民币","出口",2018,"7","www.customs.gov.cn/customs/302249/302274/302277/302276/1975166/index.html"
"表13","出口主要商品量值表","人民币","出口",2018,"8","www.customs.gov.cn/customs/302249/302274/302277/302276/2020700/index.html"
"表13","出口主要商品量值表","人民币","出口",2018,"9","www.customs.gov.cn/customs/302249/302274/302277/302276/2050209/index.html"
"表13","出口主要商品量值表","人民币","出口",2018,"10","www.customs.gov.cn/customs/302249/302274/302277/302276/2112848/index.html"
"表13","出口主要商品量值表","人民币","出口",2018,"11","www.customs.gov.cn/customs/302249/302274/302277/302276/2153613/index.html"
"表13","出口主要商品量值表","人民币","出口",2018,"12","www.customs.gov.cn/customs/302249/302274/302277/302276/2278839/index.html"
"表13","出口主要商品量值表","美元","出口",2018,"1 ","www.customs.gov.cn/customs/302249/302274/302277/302276/1466848/index.html"
"表13","出口主要商品量值表","美元","出口",2018,"2 ","www.customs.gov.cn/customs/302249/302274/302277/302276/1475347/index.html"
"表13","出口主要商品量值表","美元","出口",2018,"3 ","www.customs.gov.cn/customs/302249/302274/302277/302276/1761993/index.html"
"表13","出口主要商品量值表","美元","出口",2018,"4 ","www.customs.gov.cn/customs/302249/302274/302277/302276/1858121/index.html"
"表13","出口主要商品量值表","美元","出口",2018,"5 ","www.customs.gov.cn/customs/302249/302274/302277/302276/1899438/index.html"
"表13","出口主要商品量值表","美元","出口",2018,"6","www.customs.gov.cn/customs/302249/302274/302277/302276/1940121/index.html"
"表13","出口主要商品量值表","美元","出口",2018,"7","www.customs.gov.cn/customs/302249/302274/302277/302276/1975245/index.html"
"表13","出口主要商品量值表","美元","出口",2018,"8","www.customs.gov.cn/customs/302249/302274/302277/302276/2020765/index.html"
"表13","出口主要商品量值表","美元","出口",2018,"9","www.customs.gov.cn/customs/302249/302274/302277/302276/2050298/index.html"
"表13","出口主要商品量值表","美元","出口",2018,"10","www.customs.gov.cn/customs/302249/302274/302277/302276/2113026/index.html"
"表13","出口主要商品量值表","美元","出口",2018,"11","www.customs.gov.cn/customs/302249/302274/302277/302276/2153669/index.html"
"表13","出口主要商品量值表","美元","出口",2018,"12","www.customs.gov.cn/customs/302249/302274/302277/302276/2279025/index.html"
"表13","出口主要商品量值表","人民币","出口",2017,"1","www.customs.gov.cn/customs/302249/302274/302277/302276/632035/index.html"
"表13","出口主要商品量值表","人民币","出口",2017,"2","www.customs.gov.cn/customs/302249/302274/302277/302276/632069/index.html"
"表13","出口主要商品量值表","人民币","出口",2017,"3","www.customs.gov.cn/customs/302249/302274/302277/302276/632103/index.html"
"表13","出口主要商品量值表","人民币","出口",2017,"4","www.customs.gov.cn/customs/302249/302274/302277/302276/632137/index.html"
"表13","出口主要商品量值表","人民币","出口",2017,"5","www.customs.gov.cn/customs/302249/302274/302277/302276/702162/index.html"
"表13","出口主要商品量值表","人民币","出口",2017,"6","www.customs.gov.cn/customs/302249/302274/302277/302276/715988/index.html"
