"年度","月份","序号","类章序号","类章名目","出口_当月","出口_累计","进口_当月","进口_累计","累计同期变动_出口","累计同期变动_进口"
2015,9,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",745001,5794055,424074,2883672,-3.9,-4.2
2015,9,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",35475,274483,153273,1589448,4.2,-54.3
2015,9,10,"07章","07章 食用蔬菜、根及块茎",443078,3981505,57260,1326987,9.3,6.3
2015,9,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",350485,1786752,264521,3055781,12.2,26.5
2015,9,13,"10章","10章 谷物",33918,135815,552408,4584617,8.7,62.9
2015,9,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",29253,260530,48792,447476,-9,5.5
2015,9,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",37331,298647,452333,3673742,2.3,-16.9
2015,9,38,"31章","31章 肥料",726218,4879621,161788,1642455,43.2,10.2
2015,9,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",113881,1083181,136980,1702320,-11.2,10.5
2015,9,64,"52章","52章 棉花",935045,7140350,492096,4953450,-4,-18.8
2015,10,3,"01章","01章 活动物",35424,272016,15235,281112,0.8,-31.1
2015,10,4,"02章","02章 肉及食用杂碎",52568,540946,382114,3347576,-5.8,11.4
2015,10,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",706614,6500542,338516,3221160,-5.1,-4.1
2015,10,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",32545,307051,121315,1710750,4.5,-53.1
2015,10,10,"07章","07章 食用蔬菜、根及块茎",483497,4463799,87292,1414290,10,5.6
2015,10,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",498476,2256051,184098,3239972,17.3,24.9
2015,10,13,"10章","10章 谷物",18350,154165,427799,5012383,-3.2,63.7
2015,10,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",31502,292033,34979,482462,-7.3,1
2015,10,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",38252,336900,326750,3999626,3.9,-15.8
2015,10,38,"31章","31章 肥料",484863,5364584,249098,1891552,33.5,11.6
2015,10,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",108563,1191744,134635,1837011,-10.8,7.7
2015,10,64,"52章","52章 棉花",951266,8091335,399647,5353063,-2.8,-18.8
2015,11,3,"01章","01章 活动物",37199,309215,14736,295540,2.1,-35.8
2015,11,4,"02章","02章 肉及食用杂碎",47588,588535,382531,3730268,-8.9,14.3
2015,11,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",815290,7315844,323412,3538650,-5.4,-3.6
2015,11,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",30864,337980,166167,1876916,3.2,-50.8
2015,11,10,"07章","07章 食用蔬菜、根及块茎",501771,4965440,85917,1500216,9.5,5.3
2015,11,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",452795,2708317,196775,3437026,18.2,22.8
2015,11,13,"10章","10章 谷物",23869,177896,386818,5399203,-21.4,61.3
2015,11,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",35852,327884,42847,525309,-4.7,-1.8
2015,11,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",32183,369082,393270,4392839,3.3,-14.6
2015,11,38,"31章","31章 肥料",626905,5991486,245504,2137213,25.4,13.7
2015,11,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",93281,1285152,148439,1985618,-10.5,5.5
2015,11,64,"52章","52章 棉花",841984,8932372,421244,5774320,-2.9,-18.5
2015,12,3,"01章","01章 活动物",62362,371577,46168,340929,3.3,-33.6
2015,12,4,"02章","02章 肉及食用杂碎",67259,655692,500570,4231047,-9.7,17.9
2015,12,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",965638,8281332,392120,3934073,-4.2,-2.7
2015,12,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",37723,376001,172575,2049117,4.4,-48.5
2015,12,10,"07章","07章 食用蔬菜、根及块茎",639056,5604317,118591,1618804,10.9,2.3
2015,12,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",517435,3225558,284396,3721150,21.6,17.8
2015,12,13,"10章","10章 谷物",22579,200475,391461,5790747,-26.7,52.8
2015,12,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",40745,368188,65627,590747,-2.1,-0.2
2015,12,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",44934,414016,505004,4897875,4.6,-12.5
2015,12,38,"31章","31章 肥料",723476,6714267,306566,2442801,22.4,18.7
2015,12,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",129066,1414188,130490,2116067,-8.7,1.8
2015,12,64,"52章","52章 棉花",882587,9812844,581726,6355886,-2,-18.8
2016,1,3,"01章","01章 活动物",10214,10214,7163,7163,105.4,-90.4
2016,1,4,"02章","02章 肉及食用杂碎",40132,40132,498324,498324,-21.3,47.1
2016,1,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",829420,829420,362967,362967,-0.8,17.1
2016,1,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",37941,37941,358707,358707,28.9,29.3
2016,1,10,"07章","07章 食用蔬菜、根及块茎",489646,489646,105280,105280,4.3,-20.1
2016,1,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",364289,364289,516323,516323,39.3,8.4
2016,1,13,"10章","10章 谷物",14772,14772,349249,349249,-2.6,-18.1
2016,1,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",31877,31877,51022,51022,-3.5,-5.3
2016,1,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",31256,31256,352411,352411,-13.1,-16
2016,1,38,"31章","31章 肥料",386121,386121,245583,245583,-18.4,36.5
2016,1,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",113735,113735,168094,168094,-7.3,-0.3
2016,1,64,"52章","52章 棉花",882234,882234,416091,416091,14.3,-31.8
2016,2,3,"01章","01章 活动物",31264,41478,6707,13870,21.7,-85.2
2016,2,4,"02章","02章 肉及食用杂碎",37322,77453,343303,841638,-20.2,52.5
2016,2,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",486228,1315648,278252,641196,-8.3,17.3
2016,2,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",29781,67722,164832,523537,14,17.3
2016,2,10,"07章","07章 食用蔬菜、根及块茎",384505,874150,99542,204822,4.7,-30.3
2016,2,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",198987,563276,263986,780439,33.8,-10.5
2016,2,13,"10章","10章 谷物",9044,23816,206266,555420,-13.4,-33.8
2016,2,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",26716,58583,33859,84882,-3.6,-4.1
2016,2,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",25435,56691,282557,634970,-17.1,-1.7
2016,2,38,"31章","31章 肥料",204334,590445,138918,384514,-38,12.6
2016,2,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",101837,215572,99028,267122,-7.7,6.7
2016,2,64,"52章","52章 棉花",585225,1467360,291734,707824,3.4,-31.2
2016,3,3,"01章","01章 活动物",35550,77028,18897,32768,25.3,-71.2
2016,3,4,"02章","02章 肉及食用杂碎",46404,123866,500840,1342563,-16.9,53.6
2016,3,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",669147,1984304,378506,1019642,5.2,15.6
2016,3,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",32145,99867,217229,740696,15.8,19.2
2016,3,10,"07章","07章 食用蔬菜、根及块茎",538724,1412950,135670,340469,16.8,-30.5
2016,3,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",237119,800232,286526,1067504,46.9,-9.7
2016,3,13,"10章","10章 谷物",17391,41207,408019,963427,12.4,-21.9
